"The dataset should be cited as: Gavriilidis, K. (2021). Measuring Climate Policy Uncertainty. Available at SSRN: https://ssrn.com/abstract=3847388",
,
date,cpu_index
Jan-00,28.98
Feb-00,20.92
Mar-00,16.26
Apr-00,1.23
May-00,8.72
Jun-00,59.04
Jul-00,14.59
Aug-00,40.22
Sep-00,31.25
Oct-00,12.49
Nov-00,33.07
Dec-00,34.53
Jan-01,88.51
Feb-01,47.68
Mar-01,81.74
Apr-01,88.29
May-01,111.62
Jun-01,207.95
Jul-01,100.06
Aug-01,19.12
Sep-01,29.34
Oct-01,5.02
Nov-01,31.38
Dec-01,32.74
Jan-02,36.06
Feb-02,68.74
Mar-02,21.35
Apr-02,19.04
May-02,23.91
Jun-02,70.37
Jul-02,30.59
Aug-02,13.73
Sep-02,40.11
Oct-02,10.98
Nov-02,42.9
Dec-02,41.3
Jan-03,30.67
Feb-03,5.68
Mar-03,17.17
Apr-03,42.11
May-03,39.37
Jun-03,40.7
Jul-03,34.8
Aug-03,39.11
Sep-03,12.38
Oct-03,7.74
Nov-03,24.68
Dec-03,53.01
Jan-04,48.94
Feb-04,37.15
Mar-04,13.5
Apr-04,21.9
May-04,31.25
Jun-04,35.38
Jul-04,21.58
Aug-04,41.4
Sep-04,19.06
Oct-04,39.77
Nov-04,54.78
Dec-04,15.34
Jan-05,23.9
Feb-05,23.99
Mar-05,36.88
Apr-05,15.28
May-05,4.43
Jun-05,113.93
Jul-05,50.18
Aug-05,17.78
Sep-05,44.24
Oct-05,22.95
Nov-05,19.92
Dec-05,57.48
Jan-06,31.01
Feb-06,40.15
Mar-06,35.94
Apr-06,61.34
May-06,56.97
Jun-06,111.63
Jul-06,61.66
Aug-06,7.06
Sep-06,7.96
Oct-06,60.06
Nov-06,129.35
Dec-06,137.79
Jan-07,176.91
Feb-07,157.74
Mar-07,156.06
Apr-07,140.24
May-07,130.34
Jun-07,166.16
Jul-07,38.18
Aug-07,67.17
Sep-07,120.62
Oct-07,97.74
Nov-07,109.03
Dec-07,293.73
Jan-08,105.78
Feb-08,96.44
Mar-08,61.98
Apr-08,163.55
May-08,107.29
Jun-08,110.57
Jul-08,184.06
Aug-08,104.02
Sep-08,110.09
Oct-08,133.45
Nov-08,131.96
Dec-08,121.42
Jan-09,125.93
Feb-09,225.92
Mar-09,143.8
Apr-09,105.16
May-09,83.73
Jun-09,117.87
Jul-09,112.78
Aug-09,91.88
Sep-09,118.27
Oct-09,108.86
Nov-09,129.48
Dec-09,240.6
Jan-10,182.71
Feb-10,104.32
Mar-10,75.35
Apr-10,119.41
May-10,87.88
Jun-10,87.43
Jul-10,121.03
Aug-10,83.01
Sep-10,116.33
Oct-10,96.35
Nov-10,143.09
Dec-10,49.48
Jan-11,90.7
Feb-11,64.26
Mar-11,106.51
Apr-11,87.35
May-11,84.4
Jun-11,90.63
Jul-11,67.43
Aug-11,31.82
Sep-11,214.23
Oct-11,74.09
Nov-11,109.32
Dec-11,76.31
Jan-12,68.8
Feb-12,56.86
Mar-12,31.45
Apr-12,32.64
May-12,24.11
Jun-12,74.17
Jul-12,59.02
Aug-12,83.16
Sep-12,91.43
Oct-12,87.26
Nov-12,126.47
Dec-12,64.37
Jan-13,118.53
Feb-13,25.14
Mar-13,36.75
Apr-13,70.78
May-13,22.71
Jun-13,65.5
Jul-13,58.18
Aug-13,11.78
Sep-13,95.77
Oct-13,98.58
Nov-13,39.82
Dec-13,68.49
Jan-14,67.63
Feb-14,95.92
Mar-14,62.91
Apr-14,86.5
May-14,162.75
Jun-14,90.9
Jul-14,50.27
Aug-14,62.79
Sep-14,60.52
Oct-14,45.52
Nov-14,165.87
Dec-14,61.58
Jan-15,66.31
Feb-15,45.86
Mar-15,43.8
Apr-15,28.32
May-15,88.89
Jun-15,58.88
Jul-15,31.03
Aug-15,59.96
Sep-15,105.46
Oct-15,135.23
Nov-15,190.28
Dec-15,163.66
Jan-16,139.61
Feb-16,37.72
Mar-16,60.36
Apr-16,118.23
May-16,91.72
Jun-16,93.84
Jul-16,75.65
Aug-16,91.67
Sep-16,107.86
Oct-16,87.51
Nov-16,297.41
Dec-16,296.74
Jan-17,363.4
Feb-17,181.28
Mar-17,247.83
Apr-17,202.09
May-17,170.26
Jun-17,263.1
Jul-17,186.36
Aug-17,173.71
Sep-17,151.62
Oct-17,133.2
Nov-17,221.65
Dec-17,104.52
Jan-18,92.65
Feb-18,52.6
Mar-18,76.87
Apr-18,148.38
May-18,91.87
Jun-18,94.04
Jul-18,90.34
Aug-18,123.58
Sep-18,47.82
Oct-18,111.89
Nov-18,176.67
Dec-18,103.59
Jan-19,185.25
Feb-19,185.08
Mar-19,187.66
Apr-19,83.42
May-19,140.1
Jun-19,137.02
Jul-19,95.56
Aug-19,140.97
Sep-19,629.02
Oct-19,164.76
Nov-19,157.05
Dec-19,264.05
Jan-20,268.8
Feb-20,215.66
Mar-20,316.62
Apr-20,390.78
May-20,177.38
Jun-20,174.99
Jul-20,224.2
Aug-20,204.27
Sep-20,217.45
Oct-20,340.73
Nov-20,354.7
Dec-20,378.94
Jan-21,261.52
Feb-21,257.23
Mar-21,181.23
Apr-21,121.45
May-21,126.32
Jun-21,145.76
Jul-21,113.71
Aug-21,143.07
Sep-21,197.78
Oct-21,190.33
Nov-21,383.52
Dec-21,195.49
