"COU","Country","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","PA_GDP_G","Pollution-adjusted GDP growth","1991","1991","PC_PNT","Percentage points","0","Units",,,0.381369,,
"AUS","Australia","PA_GDP_G","Pollution-adjusted GDP growth","1992","1992","PC_PNT","Percentage points","0","Units",,,3.884425,,
"AUS","Australia","PA_GDP_G","Pollution-adjusted GDP growth","1993","1993","PC_PNT","Percentage points","0","Units",,,3.881379,,
"AUS","Australia","PA_GDP_G","Pollution-adjusted GDP growth","1994","1994","PC_PNT","Percentage points","0","Units",,,3.751882,,
"AUS","Australia","PA_GDP_G","Pollution-adjusted GDP growth","1995","1995","PC_PNT","Percentage points","0","Units",,,3.495713,,
"AUS","Australia","PA_GDP_G","Pollution-adjusted GDP growth","1996","1996","PC_PNT","Percentage points","0","Units",,,3.825359,,
"AUS","Australia","PA_GDP_G","Pollution-adjusted GDP growth","1997","1997","PC_PNT","Percentage points","0","Units",,,4.077144,,
"AUS","Australia","PA_GDP_G","Pollution-adjusted GDP growth","1998","1998","PC_PNT","Percentage points","0","Units",,,4.604055,,
"AUS","Australia","PA_GDP_G","Pollution-adjusted GDP growth","1999","1999","PC_PNT","Percentage points","0","Units",,,3.746943,,
"AUS","Australia","PA_GDP_G","Pollution-adjusted GDP growth","2000","2000","PC_PNT","Percentage points","0","Units",,,1.77933,,
"AUS","Australia","PA_GDP_G","Pollution-adjusted GDP growth","2001","2001","PC_PNT","Percentage points","0","Units",,,3.627926,,
"AUS","Australia","PA_GDP_G","Pollution-adjusted GDP growth","2002","2002","PC_PNT","Percentage points","0","Units",,,3.014445,,
"AUS","Australia","PA_GDP_G","Pollution-adjusted GDP growth","2003","2003","PC_PNT","Percentage points","0","Units",,,4.085009,,
"AUS","Australia","PA_GDP_G","Pollution-adjusted GDP growth","2004","2004","PC_PNT","Percentage points","0","Units",,,2.938981,,
"AUS","Australia","PA_GDP_G","Pollution-adjusted GDP growth","2005","2005","PC_PNT","Percentage points","0","Units",,,2.919178,,
"AUS","Australia","PA_GDP_G","Pollution-adjusted GDP growth","2006","2006","PC_PNT","Percentage points","0","Units",,,3.629901,,
"AUS","Australia","PA_GDP_G","Pollution-adjusted GDP growth","2007","2007","PC_PNT","Percentage points","0","Units",,,3.481232,,
"AUS","Australia","PA_GDP_G","Pollution-adjusted GDP growth","2008","2008","PC_PNT","Percentage points","0","Units",,,1.636137,,
"AUS","Australia","PA_GDP_G","Pollution-adjusted GDP growth","2009","2009","PC_PNT","Percentage points","0","Units",,,2.016772,,
"AUS","Australia","PA_GDP_G","Pollution-adjusted GDP growth","2010","2010","PC_PNT","Percentage points","0","Units",,,2.316194,,
"AUS","Australia","PA_GDP_G","Pollution-adjusted GDP growth","2011","2011","PC_PNT","Percentage points","0","Units",,,3.682232,,
"AUS","Australia","PA_GDP_G","Pollution-adjusted GDP growth","2012","2012","PC_PNT","Percentage points","0","Units",,,2.386528,,
"AUS","Australia","GDP_G","GDP growth","1991","1991","PC_PNT","Percentage points","0","Units",,,0.3968134,,
"AUS","Australia","GDP_G","GDP growth","1992","1992","PC_PNT","Percentage points","0","Units",,,4.066731,,
"AUS","Australia","GDP_G","GDP growth","1993","1993","PC_PNT","Percentage points","0","Units",,,4.034255,,
"AUS","Australia","GDP_G","GDP growth","1994","1994","PC_PNT","Percentage points","0","Units",,,3.877631,,
"AUS","Australia","GDP_G","GDP growth","1995","1995","PC_PNT","Percentage points","0","Units",,,3.947761,,
"AUS","Australia","GDP_G","GDP growth","1996","1996","PC_PNT","Percentage points","0","Units",,,3.943473,,
"AUS","Australia","GDP_G","GDP growth","1997","1997","PC_PNT","Percentage points","0","Units",,,4.430845,,
"AUS","Australia","GDP_G","GDP growth","1998","1998","PC_PNT","Percentage points","0","Units",,,5.004322,,
"AUS","Australia","GDP_G","GDP growth","1999","1999","PC_PNT","Percentage points","0","Units",,,3.872105,,
"AUS","Australia","GDP_G","GDP growth","2000","2000","PC_PNT","Percentage points","0","Units",,,1.928555,,
"AUS","Australia","GDP_G","GDP growth","2001","2001","PC_PNT","Percentage points","0","Units",,,3.863089,,
"AUS","Australia","GDP_G","GDP growth","2002","2002","PC_PNT","Percentage points","0","Units",,,3.079442,,
"AUS","Australia","GDP_G","GDP growth","2003","2003","PC_PNT","Percentage points","0","Units",,,4.156261,,
"AUS","Australia","GDP_G","GDP growth","2004","2004","PC_PNT","Percentage points","0","Units",,,3.216099,,
"AUS","Australia","GDP_G","GDP growth","2005","2005","PC_PNT","Percentage points","0","Units",,,2.988583,,
"AUS","Australia","GDP_G","GDP growth","2006","2006","PC_PNT","Percentage points","0","Units",,,3.759692,,
"AUS","Australia","GDP_G","GDP growth","2007","2007","PC_PNT","Percentage points","0","Units",,,3.70191,,
"AUS","Australia","GDP_G","GDP growth","2008","2008","PC_PNT","Percentage points","0","Units",,,1.746984,,
"AUS","Australia","GDP_G","GDP growth","2009","2009","PC_PNT","Percentage points","0","Units",,,1.965205,,
"AUS","Australia","GDP_G","GDP growth","2010","2010","PC_PNT","Percentage points","0","Units",,,2.32384,,
"AUS","Australia","GDP_G","GDP growth","2011","2011","PC_PNT","Percentage points","0","Units",,,3.564739,,
"AUS","Australia","GDP_G","GDP growth","2012","2012","PC_PNT","Percentage points","0","Units",,,2.416174,,
"AUS","Australia","P_ADJ_ALL_G","Adjustment for pollution abatement","1991","1991","PC_PNT","Percentage points","0","Units",,,-0.01544443,,
"AUS","Australia","P_ADJ_ALL_G","Adjustment for pollution abatement","1992","1992","PC_PNT","Percentage points","0","Units",,,-0.1823063,,
"AUS","Australia","P_ADJ_ALL_G","Adjustment for pollution abatement","1993","1993","PC_PNT","Percentage points","0","Units",,,-0.1528751,,
"AUS","Australia","P_ADJ_ALL_G","Adjustment for pollution abatement","1994","1994","PC_PNT","Percentage points","0","Units",,,-0.1257492,,
"AUS","Australia","P_ADJ_ALL_G","Adjustment for pollution abatement","1995","1995","PC_PNT","Percentage points","0","Units",,,-0.4520483,,
"AUS","Australia","P_ADJ_ALL_G","Adjustment for pollution abatement","1996","1996","PC_PNT","Percentage points","0","Units",,,-0.1181135,,
"AUS","Australia","P_ADJ_ALL_G","Adjustment for pollution abatement","1997","1997","PC_PNT","Percentage points","0","Units",,,-0.3537009,,
"AUS","Australia","P_ADJ_ALL_G","Adjustment for pollution abatement","1998","1998","PC_PNT","Percentage points","0","Units",,,-0.4002663,,
"AUS","Australia","P_ADJ_ALL_G","Adjustment for pollution abatement","1999","1999","PC_PNT","Percentage points","0","Units",,,-0.125162,,
"AUS","Australia","P_ADJ_ALL_G","Adjustment for pollution abatement","2000","2000","PC_PNT","Percentage points","0","Units",,,-0.149224,,
"AUS","Australia","P_ADJ_ALL_G","Adjustment for pollution abatement","2001","2001","PC_PNT","Percentage points","0","Units",,,-0.2351625,,
"AUS","Australia","P_ADJ_ALL_G","Adjustment for pollution abatement","2002","2002","PC_PNT","Percentage points","0","Units",,,-0.06499745,,
"AUS","Australia","P_ADJ_ALL_G","Adjustment for pollution abatement","2003","2003","PC_PNT","Percentage points","0","Units",,,-0.071252,,
"AUS","Australia","P_ADJ_ALL_G","Adjustment for pollution abatement","2004","2004","PC_PNT","Percentage points","0","Units",,,-0.2771184,,
"AUS","Australia","P_ADJ_ALL_G","Adjustment for pollution abatement","2005","2005","PC_PNT","Percentage points","0","Units",,,-0.06940565,,
"AUS","Australia","P_ADJ_ALL_G","Adjustment for pollution abatement","2006","2006","PC_PNT","Percentage points","0","Units",,,-0.1297914,,
"AUS","Australia","P_ADJ_ALL_G","Adjustment for pollution abatement","2007","2007","PC_PNT","Percentage points","0","Units",,,-0.2206785,,
"AUS","Australia","P_ADJ_ALL_G","Adjustment for pollution abatement","2008","2008","PC_PNT","Percentage points","0","Units",,,-0.1108475,,
"AUS","Australia","P_ADJ_ALL_G","Adjustment for pollution abatement","2009","2009","PC_PNT","Percentage points","0","Units",,,0.0515665,,
"AUS","Australia","P_ADJ_ALL_G","Adjustment for pollution abatement","2010","2010","PC_PNT","Percentage points","0","Units",,,-0.007646129,,
"AUS","Australia","P_ADJ_ALL_G","Adjustment for pollution abatement","2011","2011","PC_PNT","Percentage points","0","Units",,,0.1174932,,
"AUS","Australia","P_ADJ_ALL_G","Adjustment for pollution abatement","2012","2012","PC_PNT","Percentage points","0","Units",,,-0.02964613,,
"AUS","Australia","L_CONTR_G","Contribution of labour","1991","1991","PC_PNT","Percentage points","0","Units",,,-0.4476492,,
"AUS","Australia","L_CONTR_G","Contribution of labour","1992","1992","PC_PNT","Percentage points","0","Units",,,0.006301176,,
"AUS","Australia","L_CONTR_G","Contribution of labour","1993","1993","PC_PNT","Percentage points","0","Units",,,0.8876228,,
"AUS","Australia","L_CONTR_G","Contribution of labour","1994","1994","PC_PNT","Percentage points","0","Units",,,1.598386,,
"AUS","Australia","L_CONTR_G","Contribution of labour","1995","1995","PC_PNT","Percentage points","0","Units",,,0.8709328,,
"AUS","Australia","L_CONTR_G","Contribution of labour","1996","1996","PC_PNT","Percentage points","0","Units",,,0.1941367,,
"AUS","Australia","L_CONTR_G","Contribution of labour","1997","1997","PC_PNT","Percentage points","0","Units",,,0.5381414,,
"AUS","Australia","L_CONTR_G","Contribution of labour","1998","1998","PC_PNT","Percentage points","0","Units",,,0.5510836,,
"AUS","Australia","L_CONTR_G","Contribution of labour","1999","1999","PC_PNT","Percentage points","0","Units",,,1.184949,,
"AUS","Australia","L_CONTR_G","Contribution of labour","2000","2000","PC_PNT","Percentage points","0","Units",,,0.08442127,,
"AUS","Australia","L_CONTR_G","Contribution of labour","2001","2001","PC_PNT","Percentage points","0","Units",,,-0.1001553,,
"AUS","Australia","L_CONTR_G","Contribution of labour","2002","2002","PC_PNT","Percentage points","0","Units",,,0.9969279,,
"AUS","Australia","L_CONTR_G","Contribution of labour","2003","2003","PC_PNT","Percentage points","0","Units",,,0.7642287,,
"AUS","Australia","L_CONTR_G","Contribution of labour","2004","2004","PC_PNT","Percentage points","0","Units",,,0.8672789,,
"AUS","Australia","L_CONTR_G","Contribution of labour","2005","2005","PC_PNT","Percentage points","0","Units",,,0.8730646,,
"AUS","Australia","L_CONTR_G","Contribution of labour","2006","2006","PC_PNT","Percentage points","0","Units",,,1.074179,,
"AUS","Australia","L_CONTR_G","Contribution of labour","2007","2007","PC_PNT","Percentage points","0","Units",,,1.095678,,
"AUS","Australia","L_CONTR_G","Contribution of labour","2008","2008","PC_PNT","Percentage points","0","Units",,,0.3907141,,
"AUS","Australia","L_CONTR_G","Contribution of labour","2009","2009","PC_PNT","Percentage points","0","Units",,,0.004385445,,
"AUS","Australia","L_CONTR_G","Contribution of labour","2010","2010","PC_PNT","Percentage points","0","Units",,,0.8725482,,
"AUS","Australia","L_CONTR_G","Contribution of labour","2011","2011","PC_PNT","Percentage points","0","Units",,,0.5467853,,
"AUS","Australia","L_CONTR_G","Contribution of labour","2012","2012","PC_PNT","Percentage points","0","Units",,,-0.2775387,,
"AUS","Australia","K_CONTR_G","Contribution of produced capital","1991","1991","PC_PNT","Percentage points","0","Units",,,0.4104958,,
"AUS","Australia","K_CONTR_G","Contribution of produced capital","1992","1992","PC_PNT","Percentage points","0","Units",,,0.4625407,,
"AUS","Australia","K_CONTR_G","Contribution of produced capital","1993","1993","PC_PNT","Percentage points","0","Units",,,0.4446472,,
"AUS","Australia","K_CONTR_G","Contribution of produced capital","1994","1994","PC_PNT","Percentage points","0","Units",,,0.5260532,,
"AUS","Australia","K_CONTR_G","Contribution of produced capital","1995","1995","PC_PNT","Percentage points","0","Units",,,0.5303131,,
"AUS","Australia","K_CONTR_G","Contribution of produced capital","1996","1996","PC_PNT","Percentage points","0","Units",,,0.5578187,,
"AUS","Australia","K_CONTR_G","Contribution of produced capital","1997","1997","PC_PNT","Percentage points","0","Units",,,0.6138515,,
"AUS","Australia","K_CONTR_G","Contribution of produced capital","1998","1998","PC_PNT","Percentage points","0","Units",,,0.5718225,,
"AUS","Australia","K_CONTR_G","Contribution of produced capital","1999","1999","PC_PNT","Percentage points","0","Units",,,0.6073486,,
"AUS","Australia","K_CONTR_G","Contribution of produced capital","2000","2000","PC_PNT","Percentage points","0","Units",,,0.5803266,,
"AUS","Australia","K_CONTR_G","Contribution of produced capital","2001","2001","PC_PNT","Percentage points","0","Units",,,0.5437735,,
"AUS","Australia","K_CONTR_G","Contribution of produced capital","2002","2002","PC_PNT","Percentage points","0","Units",,,0.6465169,,
"AUS","Australia","K_CONTR_G","Contribution of produced capital","2003","2003","PC_PNT","Percentage points","0","Units",,,0.620515,,
"AUS","Australia","K_CONTR_G","Contribution of produced capital","2004","2004","PC_PNT","Percentage points","0","Units",,,0.6650387,,
