"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1989","1989","PER","Persons","3","Thousands",,,425.2033,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1990","1990","PER","Persons","3","Thousands",,,435.7737,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1991","1991","PER","Persons","3","Thousands",,,410.4288,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1992","1992","PER","Persons","3","Thousands",,,384.4738,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1993","1993","PER","Persons","3","Thousands",,,389.9679,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1994","1994","PER","Persons","3","Thousands",,,385.517,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1995","1995","PER","Persons","3","Thousands",,,390.1216,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1996","1996","PER","Persons","3","Thousands",,,401.1078,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1997","1997","PER","Persons","3","Thousands",,,409.1771,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1998","1998","PER","Persons","3","Thousands",,,411.0339,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1999","1999","PER","Persons","3","Thousands",,,425.8499,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2000","2000","PER","Persons","3","Thousands",,,430.4146,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2001","2001","PER","Persons","3","Thousands",,,427.3297,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2002","2002","PER","Persons","3","Thousands",,,401.6648,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2003","2003","PER","Persons","3","Thousands",,,366.9275,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2004","2004","PER","Persons","3","Thousands",,,355.8749,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2005","2005","PER","Persons","3","Thousands",,,352.7252,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2006","2006","PER","Persons","3","Thousands",,,344.1808,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2007","2007","PER","Persons","3","Thousands",,,345.5932,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2008","2008","PER","Persons","3","Thousands",,,344.7386,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2009","2009","PER","Persons","3","Thousands",,,348.4926,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2010","2010","PER","Persons","3","Thousands",,,355.0624,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2011","2011","PER","Persons","3","Thousands",,,315.1922,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2012","2012","PER","Persons","3","Thousands",,,317.1153,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2013","2013","PER","Persons","3","Thousands",,,299.2873,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2014","2014","PER","Persons","3","Thousands",,,323.2664,,
"AUS","Australia","LFEAAGTT","Employment - by economic activity, Agriculture, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2015","2015","PER","Persons","3","Thousands",,,311.0088,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1989","1989","PER","Persons","3","Thousands",,,600.7968,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1990","1990","PER","Persons","3","Thousands",,,592.9733,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1991","1991","PER","Persons","3","Thousands",,,538.276,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1992","1992","PER","Persons","3","Thousands",,,520.9838,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1993","1993","PER","Persons","3","Thousands",,,547.3837,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1994","1994","PER","Persons","3","Thousands",,,568.039,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1995","1995","PER","Persons","3","Thousands",,,598.3638,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1996","1996","PER","Persons","3","Thousands",,,593.9698,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1997","1997","PER","Persons","3","Thousands",,,577.527,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1998","1998","PER","Persons","3","Thousands",,,614.6667,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1999","1999","PER","Persons","3","Thousands",,,650.3469,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2000","2000","PER","Persons","3","Thousands",,,684.91,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2001","2001","PER","Persons","3","Thousands",,,662.4023,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2002","2002","PER","Persons","3","Thousands",,,693.7667,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2003","2003","PER","Persons","3","Thousands",,,745.3265,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2004","2004","PER","Persons","3","Thousands",,,791.9011,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2005","2005","PER","Persons","3","Thousands",,,843.0519,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2006","2006","PER","Persons","3","Thousands",,,900.8347,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2007","2007","PER","Persons","3","Thousands",,,936.3865,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2008","2008","PER","Persons","3","Thousands",,,986.4555,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2009","2009","PER","Persons","3","Thousands",,,983.7769,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2010","2010","PER","Persons","3","Thousands",,,998.6464,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2011","2011","PER","Persons","3","Thousands",,,1013.67,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2012","2012","PER","Persons","3","Thousands",,,982.4848,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2013","2013","PER","Persons","3","Thousands",,,1007.852,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2014","2014","PER","Persons","3","Thousands",,,1031.304,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2015","2015","PER","Persons","3","Thousands",,,1029.04,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1989","1989","PER","Persons","3","Thousands",,,1994.559,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1990","1990","PER","Persons","3","Thousands",,,1938.362,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1991","1991","PER","Persons","3","Thousands",,,1800.75,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1992","1992","PER","Persons","3","Thousands",,,1771.673,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1993","1993","PER","Persons","3","Thousands",,,1775.622,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1994","1994","PER","Persons","3","Thousands",,,1824.058,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1995","1995","PER","Persons","3","Thousands",,,1848.255,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1996","1996","PER","Persons","3","Thousands",,,1832.154,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1997","1997","PER","Persons","3","Thousands",,,1822.539,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1998","1998","PER","Persons","3","Thousands",,,1823.036,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1999","1999","PER","Persons","3","Thousands",,,1829.053,,
