"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","1985","1985","IDX","Index","0","Units","2015_100","2015=100",26.021545,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","1986","1986","IDX","Index","0","Units","2015_100","2015=100",27.375463,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","1987","1987","IDX","Index","0","Units","2015_100","2015=100",28.801061,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","1988","1988","IDX","Index","0","Units","2015_100","2015=100",30.336119,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","1989","1989","IDX","Index","0","Units","2015_100","2015=100",31.874315,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","1990","1990","IDX","Index","0","Units","2015_100","2015=100",32.981645,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","1991","1991","IDX","Index","0","Units","2015_100","2015=100",33.909368,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","1992","1992","IDX","Index","0","Units","2015_100","2015=100",34.994149,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","1993","1993","IDX","Index","0","Units","2015_100","2015=100",36.119109,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","1994","1994","IDX","Index","0","Units","2015_100","2015=100",37.497187,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","1995","1995","IDX","Index","0","Units","2015_100","2015=100",39.015961,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","1996","1996","IDX","Index","0","Units","2015_100","2015=100",40.707155,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","1997","1997","IDX","Index","0","Units","2015_100","2015=100",42.692076,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","1998","1998","IDX","Index","0","Units","2015_100","2015=100",44.630447,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","1999","1999","IDX","Index","0","Units","2015_100","2015=100",46.725314,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","2000","2000","IDX","Index","0","Units","2015_100","2015=100",48.863657,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","2001","2001","IDX","Index","0","Units","2015_100","2015=100",50.892187,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","2002","2002","IDX","Index","0","Units","2015_100","2015=100",53.374439,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","2003","2003","IDX","Index","0","Units","2015_100","2015=100",55.968079,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","2004","2004","IDX","Index","0","Units","2015_100","2015=100",58.882025,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","2005","2005","IDX","Index","0","Units","2015_100","2015=100",62.315726,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","2006","2006","IDX","Index","0","Units","2015_100","2015=100",65.794871,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","2007","2007","IDX","Index","0","Units","2015_100","2015=100",69.84026,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","2008","2008","IDX","Index","0","Units","2015_100","2015=100",73.732071,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","2009","2009","IDX","Index","0","Units","2015_100","2015=100",77.474101,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","2010","2010","IDX","Index","0","Units","2015_100","2015=100",81.292214,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","2011","2011","IDX","Index","0","Units","2015_100","2015=100",85.955604,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","2012","2012","IDX","Index","0","Units","2015_100","2015=100",90.539703,,
